name,materialRef,seriesName,season,episodeNumber,projectType,startDate,deadline,writtenAt,mixedAt,deliveredAt,mixStatus,status,deliveryStatus,vsStatus,pageCount,durationMin,redacteurId,techSonId,broadcastChannel,isMixed,isWritten,isDelivered,isNarrated,isAINarrator,workflowStep,language,totalEpisodes
joshgatestraqueurdemysteres-4_415-e77661_2026-5-18_evasion_20091062,e77661,joshgatestraqueurdemysteres,4,415,SERIE_EMISSION,2026-04-08,2026-05-18,2026-04-10,2026-04-13,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,4,44.07,user007,user003,evasion,True,True,False,True,True,DISPATCH,fr,0
jamiecuisineapetitprix-1_6-g06030_2026-7-22_zeste_31621036,g06030,jamiecuisineapetitprix,1,6,SERIE_EMISSION,2026-04-01,2026-07-22,2026-04-06,2026-04-06,2026-04-06,FAIT,FAIT,PAS_ENCORE,AI,5,49.05,user002,user011,zeste,True,True,False,True,True,DISPATCH,fr,0
hpihautpotentielintellectuel-5_6-g04438_2026-7-23_addik_31033786,g04438,hpihautpotentielintellectuel,5,6,SERIE_EMISSION,2026-04-02,2026-07-23,2026-04-11,2026-04-13,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,7,60.75,user002,user010,addik,True,True,False,True,True,DISPATCH,fr,0
destrainspascommelesautres-14_7-g05968_2026-7-27_evasion_31617754,g05968,destrainspascommelesautres,14,7,SERIE_EMISSION,2026-03-31,2026-07-27,2026-04-06,2026-04-07,2026-04-07,FAIT,FAIT,PAS_ENCORE,AI,4,52.35,user002,user010,evasion,True,True,False,True,True,DISPATCH,fr,0
pekinexpress-20_8-g06052_2026-7-29_evasion_31620299,g06052,pekinexpress,20,8,SERIE_EMISSION,2026-03-31,2026-07-29,2026-04-08,2026-04-08,2026-04-08,FAIT,FAIT,PAS_ENCORE,AI,36,116.27,user008,user003,evasion,True,True,False,True,True,DISPATCH,fr,0
jamiecuisineengeorgie-1_1-g06019_2026-7-29_zeste_31620925,g06019,jamiecuisineengeorgie,1,1,SERIE_EMISSION,2026-04-01,2026-07-29,2026-04-08,2026-04-08,2026-04-08,FAIT,FAIT,PAS_ENCORE,AI,4,50.83,user008,user010,zeste,True,True,False,True,True,DISPATCH,fr,0
hpihautpotentielintellectuel-5_7-g04439_2026-7-30_addik_31033802,g04439,hpihautpotentielintellectuel,5,7,SERIE_EMISSION,2026-04-02,2026-07-30,2026-04-08,2026-04-08,2026-04-08,FAIT,FAIT,PAS_ENCORE,AI,5,59.47,user007,user011,addik,True,True,False,True,True,DISPATCH,fr,0
destrainspascommelesautres-14_8-g05969_2026-8-1_evasion_31617365,g05969,destrainspascommelesautres,14,8,SERIE_EMISSION,2026-03-31,2026-08-01,2026-04-07,2026-04-07,2026-04-08,FAIT,FAIT,PAS_ENCORE,AI,5,52.22,user007,user011,evasion,True,True,False,True,True,DISPATCH,fr,0
top10dessecretsetmysteres-1_10-g05739_2026-5-19_tva_31685766,g05739,top10dessecretsetmysteres,1,10,SERIE_EMISSION,2026-04-08,2026-05-19,2026-04-11,2026-04-13,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,3,43.7,user001,user003,tva,True,True,False,True,True,DISPATCH,fr,0
pekinexpress-20_10-g06054_2026-8-12_evasion_31620337,g06054,pekinexpress,20,10,SERIE_EMISSION,2026-03-31,2026-08-12,2026-04-12,2026-04-15,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,18,114.62,user006,user010,evasion,True,True,False,True,True,DISPATCH,fr,0
empoisonnees-1_2-g06085_2026-8-12_temoin_31637943,g06085,empoisonnees,1,2,SERIE_EMISSION,2026-03-31,2026-08-12,2026-04-07,2026-04-07,2026-04-08,FAIT,FAIT,PAS_ENCORE,AI,10,56.83,user006,user003,temoin,True,True,False,True,True,DISPATCH,fr,0
laloietlordre-24_8fp03-g05895_2026-5-21_temoin_31708825,g05895,laloietlordre,24,8fp03,SERIE_EMISSION,2026-04-08,2026-05-21,2026-04-10,2026-04-13,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,8,48.38,user007,user003,temoin,True,True,False,True,True,DISPATCH,fr,0
joshgatestraqueurdemysteres-4_404-e76281_2026-4-20_evasion_20090894,e76281,joshgatestraqueurdemysteres,4,404,SERIE_EMISSION,2026-04-15,2026-04-20,2026-04-17,2026-04-17,2026-04-17,FAIT,FAIT,PAS_ENCORE,AI,9,43.95,user008,user003,evasion,True,True,False,True,True,DISPATCH,fr,0
tuezvousetesfilme-2_205-g04901_2026-5-27_temoin_31162893,g04901,tuezvousetesfilme,2,205,SERIE_EMISSION,2026-03-31,2026-05-27,2026-04-09,2026-04-15,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,29,45.05,user008,user003,temoin,True,True,False,True,True,DISPATCH,fr,0
pekinexpress-20_12-g06056_2026-8-26_evasion_31620373,g06056,pekinexpress,20,12,SERIE_EMISSION,2026-03-31,2026-08-26,2026-04-09,2026-04-09,2026-04-09,FAIT,FAIT,PAS_ENCORE,AI,28,122.12,user002,user011,evasion,True,True,False,True,True,DISPATCH,fr,0
larecrue-7_13-g04336_2026-7-1_tva_30961379,g04336,larecrue,7,13,SERIE_EMISSION,2026-03-23,2026-07-01,2026-04-15,2026-04-16,2026-04-16,FAIT,FAIT,PAS_ENCORE,AI,9,43.57,user007,user010,tva,True,True,False,True,True,DISPATCH,fr,0
tuezvousetesfilme-2_210-g04906_2026-7-1_temoin_31163507,g04906,tuezvousetesfilme,2,210,SERIE_EMISSION,2026-03-31,2026-07-01,,,,PAS_ENCORE,PAS_ENCORE,PAS_ENCORE,,0,44.62,user002,,temoin,False,False,False,False,False,DISPATCH,fr,0
couplestueurs-13_1305-g05541_2026-4-8_temoin_31704972,g05541,couplestueurs,13,1305,SERIE_EMISSION,2026-04-07,2026-04-08,2026-04-07,2026-04-07,2026-04-07,FAIT,FAIT,PAS_ENCORE,AI,6,44.55,user002,user011,temoin,True,True,False,True,True,DISPATCH,fr,0
unitehelico-1_108-g05554_2026-4-28_temoin_31645970,g05554,unitehelico,1,108,SERIE_EMISSION,2026-03-25,2026-04-28,2026-04-13,2026-04-13,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,9,24.25,user001,user011,temoin,True,True,False,True,True,DISPATCH,fr,0
aloneaustralielessurvivants-2_216-g05826_2026-4-29_evasion_31704956,g05826,aloneaustralielessurvivants,2,216,SERIE_EMISSION,2026-04-07,2026-04-29,2026-04-14,2026-04-14,2026-04-14,FAIT,FAIT,PAS_ENCORE,AI,9,55.33,user006,user010,evasion,True,True,False,True,True,DISPATCH,fr,0
batiraveclesbaeumler-1_4-g05947_2026-5-28_casa_31704940,g05947,batiraveclesbaeumler,1,4,SERIE_EMISSION,2026-04-07,2026-05-28,2026-04-12,2026-04-13,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,4,45.23,user006,user011,casa,True,True,False,True,True,DISPATCH,fr,0
roadtripsrestosetrelais-36_3609-g05804_2026-6-5_zeste_31704898,g05804,roadtripsrestosetrelais,36,3609,SERIE_EMISSION,2026-04-07,2026-06-05,2026-04-12,2026-04-13,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,1,22.02,user006,user011,zeste,True,True,False,True,True,DISPATCH,fr,0
petitevillegrandsecrets-1_3-g06088_2026-7-15_temoin_31638137,g06088,petitevillegrandsecrets,1,3,SERIE_EMISSION,2026-04-07,2026-07-15,2026-04-09,2026-04-09,2026-04-09,FAIT,FAIT,PAS_ENCORE,AI,11,84.58,user001,user011,temoin,True,True,False,True,True,DISPATCH,fr,0
petitevillegrandsecrets-1_1-g06086_2026-7-15_temoin_31637863,g06086,petitevillegrandsecrets,1,1,SERIE_EMISSION,2026-04-07,2026-07-15,2026-04-09,2026-04-09,2026-04-09,FAIT,FAIT,PAS_ENCORE,AI,8,86.37,user001,user010,temoin,True,True,False,True,True,DISPATCH,fr,0
petitevillegrandsecrets-1_2-g06087_2026-7-15_temoin_31638026,g06087,petitevillegrandsecrets,1,2,SERIE_EMISSION,2026-04-07,2026-07-15,2026-04-09,2026-04-09,2026-04-09,FAIT,FAIT,PAS_ENCORE,AI,7,85.08,user001,user010,temoin,True,True,False,True,True,DISPATCH,fr,0
laloietlordre-24_8fp09-g05901_2026-7-2_temoin_31710422,g05901,laloietlordre,24,8fp09,SERIE_EMISSION,2026-04-08,2026-07-02,,,,PAS_ENCORE,PAS_ENCORE,PAS_ENCORE,,0,48.9,user001,,temoin,False,False,False,False,False,DISPATCH,fr,0
lesstarsdegordonramsayuk-1_102-g05763_2026-4-29_zeste_31745116,g05763,lesstarsdegordonramsayuk,1,102,SERIE_EMISSION,2026-04-16,2026-04-29,,,,PAS_ENCORE,PAS_ENCORE,PAS_ENCORE,,0,61.55,user007,,zeste,False,False,False,False,False,DISPATCH,fr,0
larecrue-7_14-g04337_2026-7-8_tva_30961849,g04337,larecrue,7,14,SERIE_EMISSION,2026-03-23,2026-07-08,2026-04-15,2026-04-16,2026-04-16,FAIT,FAIT,PAS_ENCORE,AI,10,43.4,user008,user003,tva,True,True,False,True,True,DISPATCH,fr,0
laloietlordre-24_8fp10-g05902_2026-7-9_temoin_31710669,g05902,laloietlordre,24,8fp10,SERIE_EMISSION,2026-04-08,2026-07-09,,,,PAS_ENCORE,PAS_ENCORE,PAS_ENCORE,,0,47.75,user001,,temoin,False,False,False,False,False,DISPATCH,fr,0
aloneaustralielessurvivants-2_218-g05829_2026-5-20_evasion_31734920,g05829,aloneaustralielessurvivants,2,218,SERIE_EMISSION,2026-04-14,2026-05-20,2026-04-15,2026-04-16,2026-04-16,FAIT,FAIT,PAS_ENCORE,AI,28,55.57,user008,user003,evasion,True,True,False,True,True,DISPATCH,fr,0
laloietlordre-24_8fp11-g05903_2026-7-16_temoin_31711086,g05903,laloietlordre,24,8fp11,SERIE_EMISSION,2026-04-09,2026-07-16,,,,PAS_ENCORE,PAS_ENCORE,PAS_ENCORE,,0,47.85,user001,,temoin,False,False,False,False,False,DISPATCH,fr,0
roadtripsrestosetrelais-36_3608-g05803_2026-5-29_zeste_31711566,g05803,roadtripsrestosetrelais,36,3608,SERIE_EMISSION,2026-04-08,2026-05-29,2026-04-11,2026-04-13,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,4,22.02,user001,user003,zeste,True,True,False,True,True,DISPATCH,fr,0
chacal-1_8dm04-g06094_2026-6-25_addik_31627553,g06094,chacal,1,8dm04,SERIE_EMISSION,2026-04-10,2026-06-25,,,,PAS_ENCORE,PAS_ENCORE,PAS_ENCORE,,0,49.95,user006,,addik,False,False,False,False,False,DISPATCH,fr,0
larecrue-7_16-g04339_2026-7-22_tva_30963381,g04339,larecrue,7,16,SERIE_EMISSION,2026-03-23,2026-07-22,2026-04-16,2026-04-16,,FAIT,FAIT,PAS_ENCORE,AI,7,43.42,user007,user003,tva,True,True,False,True,True,DISPATCH,fr,0
jaisurvecuauntueurenserie-2_203-g05724_2026-4-14_temoin_31711531,g05724,jaisurvecuauntueurenserie,2,203,SERIE_EMISSION,2026-04-08,2026-04-14,2026-04-10,2026-04-10,2026-04-10,FAIT,FAIT,PAS_ENCORE,AI,15,45.67,user001,user010,temoin,True,True,False,True,True,DISPATCH,fr,0
passeportgourmand-4_410-g05779_2026-5-29_zeste_31711548,g05779,passeportgourmand,4,410,SERIE_EMISSION,2026-04-08,2026-05-29,2026-04-13,2026-04-13,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,3,21.92,user008,user003,zeste,True,True,False,True,True,DISPATCH,fr,0
untueurdansmafamille-2_4-g05918_2026-6-2_temoin_31627208,g05918,untueurdansmafamille,2,4,SERIE_EMISSION,2026-04-08,2026-06-02,2026-04-11,2026-04-13,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,5,44.18,user001,user003,temoin,True,True,False,True,True,DISPATCH,fr,0
hautpotentiel-2_23-g05597_2026-6-3_tva_31719008,g05597,hautpotentiel,2,23,SERIE_EMISSION,2026-04-09,2026-06-03,2026-04-13,2026-04-14,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,13,47.2,user008,user010,tva,True,True,False,True,True,DISPATCH,fr,0
labatailledesburgers-1_1003-g06145_2026-6-11_zeste_31711583,g06145,labatailledesburgers,1,1003,SERIE_EMISSION,2026-04-08,2026-06-11,2026-04-11,2026-04-13,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,6,45.23,user001,user003,zeste,True,True,False,True,True,DISPATCH,fr,0
passeportgourmand-4_409-g05778_2026-5-22_zeste_31711600,g05778,passeportgourmand,4,409,SERIE_EMISSION,2026-04-08,2026-05-22,2026-04-10,2026-04-10,2026-04-10,FAIT,FAIT,PAS_ENCORE,AI,6,21.92,user008,user003,zeste,True,True,False,True,True,DISPATCH,fr,0
top10dessecretsetmysteres-1_9-g05738_2026-5-19_evasion_31638952,g05738,top10dessecretsetmysteres,1,9,SERIE_EMISSION,2026-04-08,2026-05-19,2026-04-10,2026-04-10,2026-04-10,FAIT,FAIT,PAS_ENCORE,AI,4,43.72,user008,user003,evasion,True,True,False,True,True,DISPATCH,fr,0
joshgatestraqueurdemysteres-4_409-e76882_2026-5-4_evasion_20091009,e76882,joshgatestraqueurdemysteres,4,409,SERIE_EMISSION,2026-04-08,2026-05-04,2026-04-10,2026-04-10,2026-04-10,FAIT,FAIT,PAS_ENCORE,AI,11,43.92,user008,user011,evasion,True,True,False,True,True,DISPATCH,fr,0
joshgatestraqueurdemysteres-4_413-e77094_2026-5-11_evasion_20091044,e77094,joshgatestraqueurdemysteres,4,413,SERIE_EMISSION,2026-04-08,2026-05-11,2026-04-14,2026-04-14,2026-04-14,FAIT,FAIT,PAS_ENCORE,AI,3,44.17,user006,user010,evasion,True,True,False,True,True,DISPATCH,fr,0
tuezvousetesfilme-2_208-g04904_2026-6-17_temoin_31163229,g04904,tuezvousetesfilme,2,208,SERIE_EMISSION,2026-03-31,2026-06-17,2026-04-08,2026-04-13,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,31,44.77,user007,user011,temoin,True,True,False,True,True,DISPATCH,fr,0
pekinexpress-20_3-g06047_2026-6-24_evasion_31620072,g06047,pekinexpress,20,3,SERIE_EMISSION,2026-03-31,2026-06-24,2026-04-11,2026-04-14,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,11,119.77,user006,user011,evasion,True,True,False,True,True,DISPATCH,fr,0
lesameriques-1_vid05-g05980_2026-7-2_evasion_31620054,g05980,lesameriques,,,SERIE_EMISSION,2026-03-27,2026-07-02,2026-04-11,2026-04-13,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,4,43.42,user007,user003,evasion,True,True,False,True,True,DISPATCH,fr,0
laloietlordre-24_8fp12-g05904_2026-7-23_temoin_31711217,g05904,laloietlordre,24,8fp12,SERIE_EMISSION,2026-04-08,2026-07-23,2026-04-14,2026-04-14,2026-04-15,FAIT,FAIT,PAS_ENCORE,AI,5,48.95,user006,user011,temoin,True,True,False,True,True,DISPATCH,fr,0
jamiecuisineapetitprix-1_4-g06028_2026-7-8_zeste_31620964,g06028,jamiecuisineapetitprix,1,4,SERIE_EMISSION,2026-04-01,2026-07-08,2026-04-11,2026-04-13,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,9,48.55,user001,user003,zeste,True,True,False,True,True,DISPATCH,fr,0
pekinexpress-20_5-g06049_2026-7-8_evasion_31620203,g06049,pekinexpress,20,5,SERIE_EMISSION,2026-03-31,2026-07-08,2026-04-09,2026-04-15,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,20,117.78,user007,user003,evasion,True,True,False,True,True,DISPATCH,fr,0
pekinexpress-20_6-g06050_2026-7-15_evasion_31620227,g06050,pekinexpress,20,6,SERIE_EMISSION,2026-03-31,2026-07-15,2026-04-12,2026-04-14,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,14,113.42,user006,user011,evasion,True,True,False,True,True,DISPATCH,fr,0
hpihautpotentielintellectuel-5_5-g04437_2026-7-16_addik_31033770,g04437,hpihautpotentielintellectuel,5,5,SERIE_EMISSION,2026-04-02,2026-07-16,2026-04-10,2026-04-13,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,6,60.37,user007,user003,addik,True,True,False,True,True,DISPATCH,fr,0
chacal-1_8dm05-g06095_2026-7-2_addik_31627609,g06095,chacal,1,8dm05,SERIE_EMISSION,2026-04-10,2026-07-02,,,,PAS_ENCORE,PAS_ENCORE,PAS_ENCORE,,0,49.67,user006,,addik,False,False,False,False,False,DISPATCH,fr,0
laloietlordre-24_8fp04-g05896_2026-5-28_temoin_31709209,g05896,laloietlordre,24,8fp04,SERIE_EMISSION,2026-04-08,2026-05-28,2026-04-13,2026-04-14,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,14,47.4,user008,user010,temoin,True,True,False,True,True,DISPATCH,fr,0
laloietlordre-24_8fp06-g05898_2026-6-11_temoin_31709692,g05898,laloietlordre,24,8fp06,SERIE_EMISSION,2026-04-08,2026-06-11,2026-04-13,2026-04-15,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,10,48.45,user002,user003,temoin,True,True,False,True,True,DISPATCH,fr,0
pekinexpress-20_7-g06051_2026-7-22_evasion_31620281,g06051,pekinexpress,20,7,SERIE_EMISSION,2026-03-31,2026-07-22,2026-04-09,2026-04-15,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,44,115.53,user002,user011,evasion,True,True,False,True,True,DISPATCH,fr,0
laloietlordre-24_8fp05-g05897_2026-6-4_temoin_31709499,g05897,laloietlordre,24,8fp05,SERIE_EMISSION,2026-04-08,2026-06-04,2026-04-13,2026-04-13,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,9,48.47,user008,user011,temoin,True,True,False,True,True,DISPATCH,fr,0
laloietlordre-24_8fp08-g05900_2026-6-25_temoin_31710290,g05900,laloietlordre,24,8fp08,SERIE_EMISSION,2026-04-08,2026-06-25,2026-04-13,2026-04-13,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,9,48.03,user002,user011,temoin,True,True,False,True,True,DISPATCH,fr,0
lelotdudiable-1_9-g05169_2026-7-27_tva_31257038,g05169,lelotdudiable,1,9,SERIE_EMISSION,2026-03-23,2026-07-27,2026-04-14,2026-04-14,2026-04-15,FAIT,FAIT,PAS_ENCORE,AI,4,46.33,user007,user011,tva,True,True,False,True,True,DISPATCH,fr,0
laloietlordre-24_8fp07-g05899_2026-6-18_temoin_31710065,g05899,laloietlordre,24,8fp07,SERIE_EMISSION,2026-04-08,2026-06-18,2026-04-13,2026-04-14,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,11,47.9,user002,user011,temoin,True,True,False,True,True,DISPATCH,fr,0
laloietlordre-24_8fp16-g05908_2026-8-20_temoin_31711501,g05908,laloietlordre,24,8fp16,SERIE_EMISSION,2026-04-08,2026-08-20,2026-04-13,2026-04-13,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,7,47.97,user007,user011,temoin,True,True,False,True,True,DISPATCH,fr,0
laloietlordre-24_8fp13-g05905_2026-7-30_temoin_31711319,g05905,laloietlordre,24,8fp13,SERIE_EMISSION,2026-04-08,2026-07-30,2026-04-15,2026-04-16,2026-04-16,FAIT,FAIT,PAS_ENCORE,AI,7,47.08,user006,user003,temoin,True,True,False,True,True,DISPATCH,fr,0
chacal-1_8dm06-g06096_2026-7-9_addik_31627758,g06096,chacal,1,8dm06,SERIE_EMISSION,2026-04-10,2026-07-09,,,,PAS_ENCORE,PAS_ENCORE,PAS_ENCORE,,0,50.02,user006,,addik,False,False,False,False,False,DISPATCH,fr,0
laloietlordre-24_8fp14-g05906_2026-8-6_temoin_31711351,g05906,laloietlordre,24,8fp14,SERIE_EMISSION,2026-04-08,2026-08-06,2026-04-15,2026-04-16,2026-04-16,FAIT,FAIT,PAS_ENCORE,AI,6,47.43,user006,user003,temoin,True,True,False,True,True,DISPATCH,fr,0
laloietlordre-24_8fp18-g05910_2026-9-3_temoin_31711706,g05910,laloietlordre,24,8fp18,SERIE_EMISSION,2026-04-08,2026-09-03,2026-04-14,2026-04-14,2026-04-17,FAIT,FAIT,PAS_ENCORE,AI,6,48.88,user008,user011,temoin,True,True,False,True,True,DISPATCH,fr,0
